sseqid,canonical_id,display_name,gbk_type,category,function_class,cassette_role,tier,verification_status,expected_length_min,expected_length_max,organism_context
SPLICIFY_CDS_REPORTER_MTURQUOISE2_CL_CDS__67ca661e,CDS_REPORTER_MTURQUOISE2__CL_CDS_REPORTER_182,Mturquoise2,CDS,CDS_REPORTER,mTurquoise2,reporter,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_044,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_044,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_186,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_186,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_188,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_188,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_265,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_265,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_296,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_296,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_488,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_488,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_DFRA_CL_CDS_RESISTANCE_556,CDS_RESISTANCE_DFRA__CL_CDS_RESISTANCE_556,Dfra,CDS,CDS_RESISTANCE,DfrA,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_STRR_CL_CDS_RESISTANCE_160,CDS_RESISTANCE_STRR__CL_CDS_RESISTANCE_160,Strr,CDS,CDS_RESISTANCE,StrR,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_STRR_CL_CDS_RESISTANCE_376,CDS_RESISTANCE_STRR__CL_CDS_RESISTANCE_376,Strr,CDS,CDS_RESISTANCE,StrR,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_STRR_CL_CDS_RESISTANCE_626,CDS_RESISTANCE_STRR__CL_CDS_RESISTANCE_626,Strr,CDS,CDS_RESISTANCE,StrR,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_CDS_RESISTANCE_STRR_CL_CDS_RESISTANCE_627,CDS_RESISTANCE_STRR__CL_CDS_RESISTANCE_627,Strr,CDS,CDS_RESISTANCE,StrR,selection_marker,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_GRNA_SCAFFOLD_GRNA_1_CL_GRNA_SCAFFOLD_003,GRNA_SCAFFOLD_GRNA_1__CL_GRNA_SCAFFOLD_003,Grna 1,misc_RNA,GRNA_SCAFFOLD,Grna_1,grna_scaffold,silver,unverified,0,0,s|y|n|t|h|e|t|i|c
SPLICIFY_GRNA_SCAFFOLD_RNA_CL_GRNA_SCAFFOLD_007,GRNA_SCAFFOLD_RNA__CL_GRNA_SCAFFOLD_007,Rna,misc_RNA,GRNA_SCAFFOLD,Rna,grna_scaffold,silver,unverified,0,0,s|y|n|t|h|e|t|i|c
SPLICIFY_GRNA_SCAFFOLD_RNAII_CL_GRNA_SCAFFOLD_005,GRNA_SCAFFOLD_RNAII__CL_GRNA_SCAFFOLD_005,Rnaii,misc_RNA,GRNA_SCAFFOLD,Rnaii,grna_scaffold,silver,unverified,0,0,s|y|n|t|h|e|t|i|c
SPLICIFY_GRNA_SCAFFOLD_RNAII_CL_GRNA_SCAFFOLD_006,GRNA_SCAFFOLD_RNAII__CL_GRNA_SCAFFOLD_006,Rnaii,misc_RNA,GRNA_SCAFFOLD,Rnaii,grna_scaffold,silver,unverified,0,0,s|y|n|t|h|e|t|i|c
SPLICIFY_GRNA_SCAFFOLD_TORNADO_F30_TAR_CL_76ee02a3,GRNA_SCAFFOLD_TORNADO_F30_TAR__CL_GRNA_SCAFFOLD_002,Tornado-F30-Tar,misc_RNA,GRNA_SCAFFOLD,Tornado-F30-Tar,grna_scaffold,silver,unverified,0,0,s|y|n|t|h|e|t|i|c
SPLICIFY_INTRON_IME_ACTIN_CL_INTRON_IME_016,INTRON_IME_ACTIN__CL_INTRON_IME_016,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_ACTIN_CL_INTRON_IME_018,INTRON_IME_ACTIN__CL_INTRON_IME_018,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_ACTIN_CL_INTRON_IME_019,INTRON_IME_ACTIN__CL_INTRON_IME_019,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
