sseqid,motif_id,display_name,motif_type,function_class,length_bp,scanner_type,max_mismatches,tier
SPLICIFY_MOTIF_TERM_RRNB_T1T2,MOTIF_TERM_RRNB_T1T2,rrnB T1/T2 terminator,bacterial_terminator,transcription_termination,87,blast,3,gold
SPLICIFY_MOTIF_PROM_AMPR_FRAG,MOTIF_PROM_AMPR_FRAG,AmpR promoter fragment,bacterial_promoter,transcription_initiation,29,near_exact,1,gold
SPLICIFY_MOTIF_PROM_T7,MOTIF_PROM_T7,T7 promoter,bacterial_promoter,transcription_initiation,19,exact,1,gold
SPLICIFY_MOTIF_PROM_TET_OPERATOR,MOTIF_PROM_TET_OPERATOR,tet operator,bacterial_promoter,transcriptional_regulation,54,near_exact,2,gold
SPLICIFY_MOTIF_PROM_CMV_FRAG,MOTIF_PROM_CMV_FRAG,CMV promoter fragment,eukaryotic_promoter_fragment,transcription_initiation,60,blast,3,gold
SPLICIFY_MOTIF_TERM_T7,MOTIF_TERM_T7,T7 terminator,bacterial_terminator,transcription_termination,48,near_exact,2,gold
SPLICIFY_MOTIF_PROM_SP6,MOTIF_PROM_SP6,SP6 promoter,bacterial_promoter,transcription_initiation,19,exact,1,gold
SPLICIFY_MOTIF_PROM_LAC,MOTIF_PROM_LAC,lac promoter,bacterial_promoter,transcription_initiation,31,near_exact,2,gold
SPLICIFY_MOTIF_CDS_FRAG_PUROR,MOTIF_CDS_FRAG_PUROR,PuroR fragment,partial_cds_fragment,cds_resistance,21,near_exact,1,gold
SPLICIFY_MOTIF_PROM_CMR_FRAG,MOTIF_PROM_CMR_FRAG,CmR promoter fragment,bacterial_promoter,transcription_initiation,92,blast,3,gold
SPLICIFY_MOTIF_PROM_TAC,MOTIF_PROM_TAC,tac promoter,bacterial_promoter,transcription_initiation,29,near_exact,1,gold
SPLICIFY_MOTIF_PROM_TRE3G_FRAG,MOTIF_PROM_TRE3G_FRAG,TRE3G promoter fragment,eukaryotic_promoter_fragment,transcription_initiation,84,blast,3,gold
SPLICIFY_MOTIF_CDS_FRAG_LACZ,MOTIF_CDS_FRAG_LACZ,LacZ fragment,partial_cds_fragment,cds_reporter,58,near_exact,2,gold
SPLICIFY_MOTIF_LENTI_PSI,MOTIF_LENTI_PSI,HIV-1 Psi packaging signal,lentiviral_element,viral_packaging,54,near_exact,2,gold
SPLICIFY_MOTIF_SGRNA_SCAFFOLD_SP,MOTIF_SGRNA_SCAFFOLD_SP,SpCas9 sgRNA scaffold,sgrna_scaffold,cas9_guidance,76,blast,3,gold
SPLICIFY_MOTIF_2A_P2A,MOTIF_2A_P2A,P2A self-cleaving peptide,2a_peptide,ribosome_skipping,57,near_exact,2,gold
SPLICIFY_MOTIF_CDS_FRAG_SPCAS9,MOTIF_CDS_FRAG_SPCAS9,SpCas9 fragment,partial_cds_fragment,cds_nuclease,76,blast,3,gold
SPLICIFY_MOTIF_CDS_FRAG_EGFP,MOTIF_CDS_FRAG_EGFP,EGFP fragment,partial_cds_fragment,cds_reporter,19,exact,1,gold
SPLICIFY_MOTIF_2A_T2A,MOTIF_2A_T2A,T2A self-cleaving peptide,2a_peptide,ribosome_skipping,54,near_exact,2,gold
SPLICIFY_MOTIF_ORI_BACTERIAL_FRAG,MOTIF_ORI_BACTERIAL_FRAG,bacterial ori fragment,replication_origin_fragment,replication,37,near_exact,2,gold
SPLICIFY_MOTIF_SIGNAL_KOZAK,MOTIF_SIGNAL_KOZAK,Kozak consensus sequence,ribosome_binding_site,translation_initiation,10,exact,0,gold
SPLICIFY_MOTIF_CDS_FRAG_CAS13,MOTIF_CDS_FRAG_CAS13,Cas13 fragment,partial_cds_fragment,cds_nuclease,36,near_exact,2,gold
SPLICIFY_MOTIF_INTRON_SV40,MOTIF_INTRON_SV40,SV40 small intron,intronic_enhancer,splicing,66,blast,3,gold
SPLICIFY_MOTIF_POLYA_GENERIC,MOTIF_POLYA_GENERIC,polyA signal (generic),polyadenylation_signal,mrna_processing,49,near_exact,2,gold
SPLICIFY_MOTIF_INTRON_ADH,MOTIF_INTRON_ADH,ADH1 intron,intronic_enhancer,splicing,70,blast,3,gold
SPLICIFY_MOTIF_INTRON_FRAGMENT,MOTIF_INTRON_FRAGMENT,intron fragment (partial),intronic_enhancer,splicing,63,blast,3,gold
SPLICIFY_MOTIF_PROM_KANR_FRAG,MOTIF_PROM_KANR_FRAG,KanR promoter fragment,bacterial_promoter,transcription_initiation,50,near_exact,2,gold
SPLICIFY_MOTIF_CDS_FRAG_NEOR,MOTIF_CDS_FRAG_NEOR,NeoR fragment,partial_cds_fragment,cds_resistance,50,near_exact,2,gold
SPLICIFY_MOTIF_POLYA_SV40,MOTIF_POLYA_SV40,SV40 polyA signal,polyadenylation_signal,mrna_processing,82,blast,3,gold
SPLICIFY_MOTIF_PROM_U6_HUMAN_FRAG,MOTIF_PROM_U6_HUMAN_FRAG,U6 promoter fragment,pol3_promoter_fragment,transcription_initiation,99,blast,3,gold
SPLICIFY_MOTIF_ORI_SV40_FRAG,MOTIF_ORI_SV40_FRAG,SV40 ori fragment,replication_origin_fragment,replication,78,blast,3,gold
SPLICIFY_MOTIF_CDS_FRAG_SPECR,MOTIF_CDS_FRAG_SPECR,SpecR fragment,partial_cds_fragment,cds_resistance,84,blast,3,gold
SPLICIFY_MOTIF_INTRON_ATPALPHA,MOTIF_INTRON_ATPALPHA,Na/K-ATPase alpha intron,intronic_enhancer,splicing,72,blast,3,gold
SPLICIFY_MOTIF_INTRON_GPD,MOTIF_INTRON_GPD,GPD intron fragment,intronic_enhancer,splicing,53,near_exact,2,gold
SPLICIFY_MOTIF_ORI_ORI2_FRAG,MOTIF_ORI_ORI2_FRAG,ori2 origin fragment,replication_origin_fragment,replication,67,blast,3,gold
SPLICIFY_MOTIF_PROM_H1_FRAG,MOTIF_PROM_H1_FRAG,H1 promoter fragment,pol3_promoter_fragment,transcription_initiation,27,near_exact,1,gold
SPLICIFY_MOTIF_CDS_FRAG_YFP,MOTIF_CDS_FRAG_YFP,YFP fragment,partial_cds_fragment,cds_reporter,34,near_exact,2,gold
SPLICIFY_MOTIF_CDS_FRAG_CITRINE,MOTIF_CDS_FRAG_CITRINE,Citrine fragment,partial_cds_fragment,cds_reporter,19,exact,1,gold
