sseqid,canonical_id,display_name,gbk_type,category,function_class,cassette_role,tier,verification_status,length_bp,organism_context
SPLICIFY_NONCDS_CDS_REPRESSOR_LACI,CDS_REPRESSOR_LACI,LacI,misc_feature,UNKNOWN,Laci,unknown,silver,unverified,1083,u|n|k|n|o|w|n
SPLICIFY_NONCDS_CDS_REPRESSOR_LACI_VAR2,CDS_REPRESSOR_LACI__VAR2,LacI,misc_feature,UNKNOWN,Laci,unknown,silver,unverified,1083,u|n|k|n|o|w|n
SPLICIFY_NONCDS_CDS_REPRESSOR_LACI_VAR3,CDS_REPRESSOR_LACI__VAR3,LacI,misc_feature,UNKNOWN,Laci,unknown,silver,unverified,1084,u|n|k|n|o|w|n
SPLICIFY_NONCDS_CDS_REPRESSOR_LACI_VAR4,CDS_REPRESSOR_LACI__VAR4,LacI,misc_feature,UNKNOWN,Laci,unknown,silver,unverified,1224,u|n|k|n|o|w|n
SPLICIFY_NONCDS_CDS_SELECTION_CCDB,CDS_SELECTION_CCDB,ccdB,misc_feature,UNKNOWN,Ccdb,unknown,silver,unverified,1711,u|n|k|n|o|w|n
SPLICIFY_NONCDS_CDS_SELECTION_CCDB_VAR2,CDS_SELECTION_CCDB__VAR2,ccdB,misc_feature,UNKNOWN,Ccdb,unknown,silver,unverified,1713,u|n|k|n|o|w|n
SPLICIFY_NONCDS_GRNA_SCAFFOLD_GRNA_1_CL_G_e7dd41e3,GRNA_SCAFFOLD_GRNA_1__CL_GRNA_SCAFFOLD_003,Grna 1,misc_RNA,GRNA_SCAFFOLD,Grna_1,grna_scaffold,silver,unverified,100,s|y|n|t|h|e|t|i|c
SPLICIFY_NONCDS_GRNA_SCAFFOLD_RNA_CL_GRNA_5e0809ee,GRNA_SCAFFOLD_RNA__CL_GRNA_SCAFFOLD_007,Rna,misc_RNA,GRNA_SCAFFOLD,Rna,grna_scaffold,silver,unverified,556,s|y|n|t|h|e|t|i|c
SPLICIFY_NONCDS_GRNA_SCAFFOLD_RNAII_CL_GR_19f44b5c,GRNA_SCAFFOLD_RNAII__CL_GRNA_SCAFFOLD_005,Rnaii,misc_RNA,GRNA_SCAFFOLD,Rnaii,grna_scaffold,silver,unverified,553,s|y|n|t|h|e|t|i|c
SPLICIFY_NONCDS_GRNA_SCAFFOLD_RNAII_CL_GR_b26c9db9,GRNA_SCAFFOLD_RNAII__CL_GRNA_SCAFFOLD_006,Rnaii,misc_RNA,GRNA_SCAFFOLD,Rnaii,grna_scaffold,silver,unverified,553,s|y|n|t|h|e|t|i|c
SPLICIFY_NONCDS_GRNA_SCAFFOLD_TORNADO_F30_76ee02a3,GRNA_SCAFFOLD_TORNADO_F30_TAR__CL_GRNA_SCAFFOLD_002,Tornado-F30-Tar,misc_RNA,GRNA_SCAFFOLD,Tornado-F30-Tar,grna_scaffold,silver,unverified,275,s|y|n|t|h|e|t|i|c
SPLICIFY_NONCDS_INTRON_IME_ACTIN_CL_INTRON_IME_016,INTRON_IME_ACTIN__CL_INTRON_IME_016,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,462,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_ACTIN_CL_INTRON_IME_018,INTRON_IME_ACTIN__CL_INTRON_IME_018,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,449,m|a|m|m|a|l|i|a|n
